,Unnamed: 0,playlist,name,followers,num_songs,av_song_pop,pct_explicit,avg_dur,av_artist_followers,pop_pct,rap_pct,rock_pct,hip_hop_pct,country_pct,metal_pct,indie_folk_pct,rnb_pct,edm_pct,classical_pct,jazz_pct,popular_artist_pct,top_3_artist_av_pop,top_artist_pop,Demi Lovato,Lil Wayne,BeyoncÌÄå©,Selena Gomez,SZA,Marshmello,Coldplay,Kanye West,Kygo,Dua Lipa,XXXTENTACION,Sia,Camila Cabello,Migos,Gucci Mane,Imagine Dragons,Rihanna,Travis Scott,Maroon 5,Taylor Swift,The Weeknd,Ty Dolla $ign,Nicki Minaj,Daddy Yankee,Young Thug,Lil Uzi Vert,Kendrick Lamar,Eminem,Chris Brown,Future,Justin Bieber,J Balvin,Sam Smith,21 Savage,Ozuna,Bad Bunny,Khalid,Ed Sheeran,Drake,Post Malone
331,334,5qVqzAenJiKLfRny06XQf0,Backstage,56.0,100,23.92,0.08,291191.24,1675661.24,0.78,0.18,0.69,0.06,0.07,0.08,0.39,0.09,0.01,0.0,0.01,0.58,94.3333333333,97.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,335,37i9dQZF1DX1YPTAhwehsC,State of Mind,166103.0,25,47.24,0.96,223753.2,418096.6,1.0,1.0,0.0,1.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.92,84.3333333333,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,336,37i9dQZF1DWXmxXDRgAKVq,This Is: A$AP Mob,17789.0,30,66.6333333333,1.0,217495.033333,1129870.633333333,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,337,1Bxi8UJlVM7tLYDMOqsYYF,Girls Night Out,33036.0,48,37.9583333333,0.22916666666700003,222775.770833,2757648.765957447,0.875,0.708333333333,0.104166666667,0.458333333333,0.0,0.0,0.104166666667,0.541666666667,0.0625,0.0,0.0,0.604166666667,95.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,338,37i9dQZF1DWWqNV5cS50j6,Keep It 100,148635.0,30,54.6333333333,0.8,239967.833333,4732262.166666667,1.0,0.8666666666670001,0.0333333333333,0.733333333333,0.0,0.0,0.166666666667,0.4,0.0333333333333,0.0,0.0,0.8666666666670001,98.0,99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
336,339,3uDgik1xOhjYVsXucW7GEb,A Bite Out Of The Afternoon,98804.0,23,59.3043478261,0.6956521739129999,241986.173913,4964723.434782608,1.0,0.8695652173909999,0.0,0.782608695652,0.0,0.0,0.130434782609,0.34782608695699996,0.0,0.0,0.0,1.0,98.3333333333,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
337,340,6wz9sFJRqsmu7ldv0xJOIz,An Epic Evening,121560.0,25,46.96,0.48,247784.96,2871856.32,0.96,0.88,0.0,0.64,0.0,0.0,0.04,0.44,0.04,0.0,0.0,0.68,95.6666666667,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
338,341,6spPs4oxQEPSWXyXzqg8CR,Top Picks Urban,196761.0,20,48.8,0.95,248640.05,3276240.6,1.0,1.0,0.0,0.8,0.0,0.0,0.05,0.2,0.0,0.0,0.0,0.85,97.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
339,342,37i9dQZF1DWZqUHC2tviPw,Trap & 808 Instrumental Beats,314.0,50,24.6,0.14,207292.24,114960.62,0.04,0.36,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,79.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,343,37i9dQZF1DX5EkyRFIV92g,This Is: Kendrick Lamar,439355.0,35,68.6571428571,0.9714285714290001,261171.257143,4707235.542857143,0.9714285714290001,1.0,0.0,0.942857142857,0.0,0.0,0.114285714286,0.114285714286,0.0,0.0,0.0,0.885714285714,96.0,96.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
