,playlist,name,followers,num_songs,av_song_pop,pct_explicit,avg_dur,av_artist_followers,pop_pct,rap_pct,rock_pct,popular_artist_pct,log_followers,log_artist_follow
1445,37i9dQZF1DX9E92APFiTvV,This Is: Rush,244120.0,55,23.472727272727273,0.0,335975.67272727273,592871.0,0.0,0.0,1.0,0.0,12.40541518665843,13.292732116372388
1446,37i9dQZF1DX78toxP7mOaJ,Fresh Finds: Six Strings,405109.0,30,31.7,0.0,217174.5,1368.6,0.03333333333333333,0.0,0.03333333333333333,0.0,12.911911445680602,7.221543598518397
1447,5H22bACwDGRsIQQyE9oy3I,The Grove,308.0,25,17.88,0.0,216532.84,4534.52,0.08,0.0,0.0,0.0,5.730099782973574,8.419474513507513
1448,37i9dQZF1DX76V4s7Zffmt,This Is: Animal Collective,11026.0,26,16.576923076923077,0.0,305861.6538461539,234359.0,1.0,0.0,0.0,0.0,9.30801139914963,12.36460940670987
1449,37i9dQZF1DXdEXmWwCHnI5,Office Offensive,143724.0,27,24.074074074074073,0.6296296296296297,206387.62962962964,15387.962962962964,0.0,0.0,0.0,0.0,11.875650072735507,9.641340856991395
1450,37i9dQZF1DX4gOGq3UQPw9,Food Fight,14768.0,88,28.65909090909091,0.4431818181818182,207265.0,53399.59090909091,0.0,0.0,0.0,0.0,9.600217956742634,10.885558364040493
1451,37i9dQZF1DX95YASWnAAte,Back to School,6801.0,40,23.6,0.675,209650.75,18882.75,0.0,0.0,0.0,0.0,8.824824939175638,9.846004085872234
1452,37i9dQZF1DWWsTBFM3ksVb,The Funny Thing About Football Is...,4816.0,34,13.058823529411764,0.47058823529411764,297947.20588235295,17642.470588235294,0.0,0.0,0.0,0.0,8.479698986988657,9.778064375776262
1453,37i9dQZF1DX4b3CsyjLN6p,20 Questions,6912.0,20,20.7,0.55,246327.6,20824.95,0.0,0.0,0.0,0.0,8.841014310483892,9.943907066071777
1454,37i9dQZF1DX8NZFqAdV1lo,Unsolicited Advice,310556.0,26,22.26923076923077,0.5769230769230769,216097.96153846153,10542.038461538461,0.0,0.0,0.0,0.0,12.646119518361106,9.26312620581852
