,playlist,name,followers,num_songs,av_song_pop,pct_explicit,avg_dur,av_artist_followers,pop_pct,rap_pct,rock_pct,hip_hop_pct,country_pct,metal_pct,indie_folk_pct,rnb_pct,edm_pct,classical_pct,jazz_pct,popular_artist_pct,top_3_artist_av_pop,top_artist_pop
602,37i9dQZF1DWZYWNM3NfvzJ,Pumping Iron,46668.0,89,45.3258426966,0.258426966292,219621.325843,681422.4831460674,0.247191011236,0.808988764045,0.842696629213,0.0,0.0,0.955056179775,0.0,0.0,0.0,0.0,0.0,0.337078651685,83.3333333333,86.0
603,37i9dQZF1DX4pUKG1kS0Ac,Guilty Pleasures,36826.0,100,56.18,0.13,237161.77,733907.11,0.81,0.28,0.62,0.2,0.02,0.11,0.13,0.07,0.01,0.0,0.0,0.34,91.6666666667,95.0
604,37i9dQZF1DX9wa6XirBPv8,Emo Forever,312747.0,99,42.0202020202,0.020202020202,218143.020202,300822.29292929295,0.858585858586,0.0909090909091,0.737373737374,0.0,0.0,0.252525252525,0.141414141414,0.0,0.0,0.0,0.0,0.0909090909091,86.3333333333,87.0
605,37i9dQZF1DX0BZrbvIqxCd,Punk Rock Workout,5291.0,100,46.14,0.13,188891.3,487020.22,0.87,0.06,0.41,0.0,0.0,0.2,0.08,0.0,0.0,0.0,0.0,0.18,86.3333333333,87.0
606,37i9dQZF1DX1bTIA4rzs3b,Leave The Day Behind,20908.0,25,40.68,0.16,220894.04,1263087.84,1.0,0.28,0.64,0.0,0.0,0.36,0.08,0.0,0.0,0.0,0.0,0.4,86.3333333333,87.0
607,37i9dQZF1DX3Hsftcaz0Y7,Rock-B-Que,19767.0,31,41.3870967742,0.0967741935484,206456.354839,1000730.7741935484,0.967741935484,0.0967741935484,0.741935483871,0.0,0.0,0.193548387097,0.0967741935484,0.0,0.0,0.0,0.0,0.322580645161,87.3333333333,88.0
608,2Ky26QAfAYo2Zdlo8MqcdH,Punkcake,30349.0,20,52.8,0.2,190268.1,1039823.25,1.0,0.1,0.95,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,85.3333333333,87.0
609,37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses,0.0,50,58.22,0.14,201317.02,1524423.52,1.0,0.14,0.98,0.0,0.0,0.34,0.08,0.0,0.0,0.0,0.0,0.52,87.0,87.0
610,37i9dQZF1DXaDzsRodF91I,Covered In Punk,108684.0,50,34.04,0.1,208559.46,265629.6,0.74,0.12,0.34,0.0,0.0,0.2,0.04,0.0,0.0,0.0,0.0,0.08,82.3333333333,87.0
611,0TmNZR8QmL60k1gWWa37fg,Macy's Thanksgiving Day Parade 2013,703.0,28,40.9285714286,0.0357142857143,207206.214286,1250670.4285714286,0.5,0.0357142857143,0.392857142857,0.0357142857143,0.178571428571,0.0,0.0357142857143,0.0,0.0,0.0,0.0357142857143,0.321428571429,90.6666666667,91.0
612,2FjbiwWYHqEifO3VY5LYP8,New Year's 2015,6179.0,41,45.9024390244,0.146341463415,220573.317073,2405819.43902439,0.80487804878,0.292682926829,0.390243902439,0.170731707317,0.146341463415,0.0,0.121951219512,0.0731707317073,0.0,0.0,0.0,0.80487804878,93.3333333333,95.0
613,37i9dQZF1DX4E3UdUs7fUx,Afternoon Acoustic,2470160.0,81,51.1975308642,0.0,228501.592593,185285.325,0.654320987654,0.0,0.16049382716,0.0,0.0864197530864,0.0,0.716049382716,0.0123456790123,0.0,0.0,0.0,0.0987654320988,82.0,82.0
614,37i9dQZF1DWV5vqkTng2MA,The New Retro,143854.0,100,29.55,0.0,214641.19,118390.15,0.28,0.0,0.29,0.0,0.16,0.0,0.41,0.03,0.0,0.0,0.0,0.04,80.0,81.0
615,37i9dQZF1DX58NJL8iVBGW,Southern Gothic,1150436.0,100,32.32,0.0,217548.2,135490.93,0.27,0.0,0.18,0.0,0.13,0.0,0.43,0.01,0.0,0.0,0.01,0.05,81.0,81.0
